,Date,Year,Month,Day,Tmax_C,Tmin_C,Srad,Ws_2m,q,Prcp,ETo,ETr_ASCE
7623,1999-11-15,1999,11,15,19.76015625,-0.02353515625,142.163085938,1.58170111399,0.00217042909935,0.0,2.36882472038,3.84060171762
7624,1999-11-16,1999,11,16,19.8100524902,1.16640625,140.321395874,0.690893490202,0.00218826369382,0.0,1.50153756142,2.16516628144
7625,1999-11-17,1999,11,17,21.5898681641,0.60634765625,136.254043579,2.3162510329,0.00260737468489,0.0,3.0401263237,5.14133682781
7626,1999-11-18,1999,11,18,13.2891174316,-1.75293579102,138.206375122,3.18172017307,0.00270468904637,0.0,2.55824518204,4.05773085834
7627,1999-11-19,1999,11,19,13.3698364258,-5.23343505859,136.976409912,1.15029916987,0.00156250479631,0.0,1.61804139614,2.46967732638
7628,1999-11-20,1999,11,20,15.5593200684,-3.8934387207,134.139022827,1.93037102441,0.00180327077396,0.0,2.2672328949,3.7071112052
7629,1999-11-21,1999,11,21,11.9996276855,-3.45364990234,130.045654297,1.74579920858,0.00288574816659,0.0,1.69407594204,2.50890000823
7630,1999-11-22,1999,11,22,7.50905761719,-8.18369140625,82.3112792969,3.49346191793,0.00285705784336,1.90736138821,1.55191385746,2.3556876445
7631,1999-11-23,1999,11,23,4.03014526367,-12.233404541,132.297332764,1.05201885253,0.00195641489699,0.0,0.955642580986,1.23432593753
7632,1999-11-24,1999,11,24,3.81997070313,-11.0136779785,134.470916748,2.42293725447,0.00158189015929,0.0,1.41831099987,2.13449342494
7633,1999-11-25,1999,11,25,4.69979248047,-13.2229064941,129.258209229,2.4588758922,0.00132096349262,0.0,1.52963674068,2.36998366299
7634,1999-11-26,1999,11,26,9.6,-8.29361572266,127.188751221,0.774110435337,0.00172999419738,0.0,1.0965899229,1.51697442473
7635,1999-11-27,1999,11,27,12.6099487305,-6.31342163086,122.425071716,1.56571798379,0.00269422098063,0.0,1.57126641273,2.37133072952
7636,1999-11-28,1999,11,28,14.7697387695,-3.94385375977,125.086746216,1.79886636076,0.00283999880776,0.0,1.85607969761,2.90833660184
